Table,LIFNR,Org_Key,Field,Issue_Type,Issue_Description
LFA1,0000000965,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000966,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000967,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000968,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000969,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000970,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000971,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000972,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000973,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000974,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000975,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000976,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000977,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000978,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000979,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000980,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000981,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000982,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
LFA1,0000000983,,ERDAT,Dormant Vendor,Tooling vendor created in 2014 with zero company code or purchasing org extension (dormant record).
